,baseline,smote_1,smote_2,smote_3
baseline,1.0,0.7607,0.8571,0.9036
smote_1,0.7607,1.0,0.8071,0.7929
smote_2,0.8571,0.8071,1.0,0.8393
smote_3,0.9036,0.7929,0.8393,1.0
