,baseline,smote_1,smote_2,smote_3
baseline,1.0,0.6667,0.6667,0.6667
smote_1,0.6667,1.0,1.0,1.0
smote_2,0.6667,1.0,1.0,1.0
smote_3,0.6667,1.0,1.0,1.0
